,Wavelength,Transmission,Temperature,Slit
0,480.0,69.2435461954288,40.0,0.1
1,480.2,69.1015247991207,40.0,0.1
2,480.4,69.2339544804423,40.0,0.1
3,480.6,69.1503515084148,40.0,0.1
4,480.8,69.1391625802218,40.0,0.1
5,481.0,69.24959113938,40.0,0.1
6,481.2,69.2286733595588,40.0,0.1
7,481.4,69.1873413333329,40.0,0.1
8,481.6,68.9198168240412,40.0,0.1
9,481.8,68.5998164258584,40.0,0.1
10,482.0,68.402111264738,40.0,0.1
11,482.2,68.3398661778009,40.0,0.1
12,482.4,68.6425150090711,40.0,0.1
13,482.6,68.8551829439486,40.0,0.1
14,482.8,68.6736587572922,40.0,0.1
15,483.0,68.59323413892,40.0,0.1
16,483.2,68.6772041134816,40.0,0.1
17,483.4,68.6881317385892,40.0,0.1
18,483.6,68.3525096681489,40.0,0.1
19,483.8,68.0167268229627,40.0,0.1
20,484.0,68.0596310722643,40.0,0.1
21,484.2,68.2182257132342,40.0,0.1
22,484.4,68.2997717741287,40.0,0.1
23,484.6,68.0926882136545,40.0,0.1
24,484.8,68.0682550268083,40.0,0.1
25,485.0,68.0708242317062,40.0,0.1
26,485.2,67.8669278635312,40.0,0.1
27,485.4,67.8500477878884,40.0,0.1
28,485.6,67.7311669699245,40.0,0.1
29,485.8,67.6357664312135,40.0,0.1
30,486.0,67.477634780093,40.0,0.1
31,486.2,67.368136603491,40.0,0.1
32,486.4,67.4826676978294,40.0,0.1
33,486.6,67.4055541845847,40.0,0.1
34,486.8,67.4302975287685,40.0,0.1
35,487.0,67.3902367886626,40.0,0.1
36,487.2,66.9925710035745,40.0,0.1
37,487.4,66.8532334826369,40.0,0.1
38,487.6,66.8879762076188,40.0,0.1
39,487.8,66.8962573930089,40.0,0.1
40,488.0,66.9920553890595,40.0,0.1
41,488.2,67.1212205388828,40.0,0.1
42,488.4,67.0295655826441,40.0,0.1
43,488.6,66.9407337044287,40.0,0.1
44,488.8,66.642398889363,40.0,0.1
45,488.999999999999,66.3211584992657,40.0,0.1
46,489.199999999999,66.4091327554234,40.0,0.1
47,489.399999999999,66.4811483133823,40.0,0.1
48,489.599999999999,66.6161590377273,40.0,0.1
49,489.799999999999,66.5497698551783,40.0,0.1
50,489.999999999999,66.407070238254,40.0,0.1
51,490.199999999999,66.452473498364,40.0,0.1
52,490.399999999999,66.4070439740652,40.0,0.1
53,490.599999999999,66.2252061434564,40.0,0.1
54,490.799999999999,66.1389392517806,40.0,0.1
55,490.999999999999,66.0144967347072,40.0,0.1
56,491.199999999999,65.7959535593929,40.0,0.1
57,491.399999999999,65.9449053384563,40.0,0.1
58,491.599999999999,65.9335313569946,40.0,0.1
59,491.799999999999,65.8796220738392,40.0,0.1
60,491.999999999999,65.9535563045625,40.0,0.1
61,492.199999999999,65.7976444826474,40.0,0.1
62,492.399999999999,65.6393477595459,40.0,0.1
63,492.599999999999,65.5384966446301,40.0,0.1
64,492.799999999999,65.3535958247285,40.0,0.1
65,492.999999999999,65.3032873185361,40.0,0.1
66,493.199999999999,65.2414698827925,40.0,0.1
67,493.399999999999,65.3740020797295,40.0,0.1
68,493.599999999999,65.4062967693791,40.0,0.1
69,493.799999999999,65.1634426608725,40.0,0.1
70,493.999999999999,65.0624632030349,40.0,0.1
71,494.199999999999,65.0340421006788,40.0,0.1
72,494.399999999999,64.8136841200752,40.0,0.1
73,494.599999999999,64.6553188471709,40.0,0.1
74,494.799999999999,64.7911695898499,40.0,0.1
75,494.999999999999,64.7888420848743,40.0,0.1
76,495.199999999999,64.9701726915219,40.0,0.1
77,495.399999999999,64.9102594903511,40.0,0.1
78,495.599999999999,64.6213258437051,40.0,0.1
79,495.799999999999,64.6012664901512,40.0,0.1
80,495.999999999999,64.4411216063529,40.0,0.1
81,496.199999999999,64.3543564533025,40.0,0.1
82,496.399999999999,64.221067622426,40.0,0.1
83,496.599999999999,64.0389124089696,40.0,0.1
84,496.799999999999,64.3553323590813,40.0,0.1
85,496.999999999999,64.400213109573,40.0,0.1
86,497.199999999999,64.1621644626821,40.0,0.1
87,497.399999999999,64.288084400114,40.0,0.1
88,497.599999999999,64.2213150961181,40.0,0.1
89,497.799999999999,64.1524183114953,40.0,0.1
90,497.999999999999,64.0048174539315,40.0,0.1
91,498.199999999999,63.6956262347809,40.0,0.1
92,498.399999999999,63.5765291138043,40.0,0.1
93,498.599999999999,63.7663666455531,40.0,0.1
94,498.799999999999,63.9807718887191,40.0,0.1
95,498.999999999999,64.0584648451336,40.0,0.1
96,499.199999999999,63.9453304855516,40.0,0.1
97,499.399999999999,63.8597416603989,40.0,0.1
98,499.599999999999,63.7343753210205,40.0,0.1
99,499.799999999999,63.6717344493419,40.0,0.1
100,499.999999999999,63.4577517307633,40.0,0.1
101,500.199999999999,63.3473812660785,40.0,0.1
102,500.399999999999,63.1550130887778,40.0,0.1
103,500.599999999999,63.1009174542282,40.0,0.1
104,500.799999999999,63.3306905522173,40.0,0.1
105,500.999999999999,63.2417947433126,40.0,0.1
106,501.199999999999,63.0454586880671,40.0,0.1
107,501.399999999999,63.1261877591199,40.0,0.1
108,501.599999999999,63.1985252749602,40.0,0.1
109,501.799999999999,63.0051663879643,40.0,0.1
110,501.999999999999,62.7297717967475,40.0,0.1
111,502.199999999999,62.6415961355405,40.0,0.1
112,502.399999999999,62.5682140016461,40.0,0.1
113,502.599999999999,62.6868424039644,40.0,0.1
114,502.799999999999,62.9121067164175,40.0,0.1
115,502.999999999999,62.9452625591827,40.0,0.1
116,503.199999999999,62.8129037734171,40.0,0.1
117,503.399999999999,62.7756583584783,40.0,0.1
118,503.599999999999,62.6474177919902,40.0,0.1
119,503.799999999999,62.4103024957556,40.0,0.1
120,503.999999999999,62.3451895592752,40.0,0.1
121,504.199999999999,62.2417032430286,40.0,0.1
122,504.399999999999,62.3670056940619,40.0,0.1
123,504.599999999999,62.2736885654453,40.0,0.1
124,504.799999999999,62.190094793105,40.0,0.1
125,504.999999999999,62.3663439830674,40.0,0.1
126,505.199999999999,62.0860014109575,40.0,0.1
127,505.399999999999,61.9973303205263,40.0,0.1
128,505.599999999999,62.1219343047384,40.0,0.1
129,505.799999999999,61.9904748620405,40.0,0.1
130,505.999999999999,61.8968184147101,40.0,0.1
131,506.199999999999,62.0457734058381,40.0,0.1
132,506.399999999998,62.1400008718161,40.0,0.1
133,506.599999999998,61.9791157708384,40.0,0.1
134,506.799999999998,61.8892861843748,40.0,0.1
135,506.999999999998,62.2660367729042,40.0,0.1
136,507.199999999998,61.8058526505032,40.0,0.1
137,507.399999999998,61.2766310369911,40.0,0.1
138,507.599999999998,61.5635485207026,40.0,0.1
139,507.799999999998,61.6858492053277,40.0,0.1
140,507.999999999998,61.3071391417925,40.0,0.1
